S0 f (kHz),S0 Phase velocity (m/ms),S0 Energy velocity 1 (m/ms),S0 Energy velocity 2 (m/ms),S0 Energy velocity absolute (m/ms),S0 Skew angle (deg),S0 Propagation time (micsec),S0 Coincidence angle (deg),S0 Wavelength (mm),S0 Wavenumber (rad/mm),S0 Attenuation (Np/m),S1 f (kHz),S1 Phase velocity (m/ms),S1 Energy velocity 1 (m/ms),S1 Energy velocity 2 (m/ms),S1 Energy velocity absolute (m/ms),S1 Skew angle (deg),S1 Propagation time (micsec),S1 Coincidence angle (deg),S1 Wavelength (mm),S1 Wavenumber (rad/mm),S1 Attenuation (Np/m),S2 f (kHz),S2 Phase velocity (m/ms),S2 Energy velocity 1 (m/ms),S2 Energy velocity 2 (m/ms),S2 Energy velocity absolute (m/ms),S2 Skew angle (deg),S2 Propagation time (micsec),S2 Coincidence angle (deg),S2 Wavelength (mm),S2 Wavenumber (rad/mm),S2 Attenuation (Np/m),S3 f (kHz),S3 Phase velocity (m/ms),S3 Energy velocity 1 (m/ms),S3 Energy velocity 2 (m/ms),S3 Energy velocity absolute (m/ms),S3 Skew angle (deg),S3 Propagation time (micsec),S3 Coincidence angle (deg),S3 Wavelength (mm),S3 Wavenumber (rad/mm),S3 Attenuation (Np/m),S4 f (kHz),S4 Phase velocity (m/ms),S4 Energy velocity 1 (m/ms),S4 Energy velocity 2 (m/ms),S4 Energy velocity absolute (m/ms),S4 Skew angle (deg),S4 Propagation time (micsec),S4 Coincidence angle (deg),S4 Wavelength (mm),S4 Wavenumber (rad/mm),S4 Attenuation (Np/m),S5 f (kHz),S5 Phase velocity (m/ms),S5 Energy velocity 1 (m/ms),S5 Energy velocity 2 (m/ms),S5 Energy velocity absolute (m/ms),S5 Skew angle (deg),S5 Propagation time (micsec),S5 Coincidence angle (deg),S5 Wavelength (mm),S5 Wavenumber (rad/mm),S5 Attenuation (Np/m),S6 f (kHz),S6 Phase velocity (m/ms),S6 Energy velocity 1 (m/ms),S6 Energy velocity 2 (m/ms),S6 Energy velocity absolute (m/ms),S6 Skew angle (deg),S6 Propagation time (micsec),S6 Coincidence angle (deg),S6 Wavelength (mm),S6 Wavenumber (rad/mm),S6 Attenuation (Np/m),S7 f (kHz),S7 Phase velocity (m/ms),S7 Energy velocity 1 (m/ms),S7 Energy velocity 2 (m/ms),S7 Energy velocity absolute (m/ms),S7 Skew angle (deg),S7 Propagation time (micsec),S7 Coincidence angle (deg),S7 Wavelength (mm),S7 Wavenumber (rad/mm),S7 Attenuation (Np/m),S8 f (kHz),S8 Phase velocity (m/ms),S8 Energy velocity 1 (m/ms),S8 Energy velocity 2 (m/ms),S8 Energy velocity absolute (m/ms),S8 Skew angle (deg),S8 Propagation time (micsec),S8 Coincidence angle (deg),S8 Wavelength (mm),S8 Wavenumber (rad/mm),S8 Attenuation (Np/m),S9 f (kHz),S9 Phase velocity (m/ms),S9 Energy velocity 1 (m/ms),S9 Energy velocity 2 (m/ms),S9 Energy velocity absolute (m/ms),S9 Skew angle (deg),S9 Propagation time (micsec),S9 Coincidence angle (deg),S9 Wavelength (mm),S9 Wavenumber (rad/mm),S9 Attenuation (Np/m)
0.001,1.92568579673767,1.92568249994944,0.000137042276681325,1.92568250482578,-0.00407748632272179,51.9296405314094,10.2601788623355,1925685.79673767,3.26282995794226e-06,0,0.001,3.64565227687359,3.64565227696772,-4.76189068865814e-05,3.64565227727872,0.000748387992653464,27.4299336312939,5.39863943601455,3645652.27687359,1.72347355973507e-06,0,205.760733491582,20.0148304207611,0.112830159423963,-0.206707434619588,0.235496514629512,61.3723143753542,886.287855220047,0.981942591131026,97.2723516344767,0.0645937432538909,0,210.133762170849,20.0039050621659,-0.330710293283498,0.33272199771733,0.469119628504999,45.1737356200274,-302.379460303874,0.982478942719029,95.1960544346117,0.0660025811415891,0,226.444993490628,20.008785621244,1.14098897708079,-0.11450974044828,1.14672068372268,5.73101897750711,87.6432656307066,0.982239272182804,88.3604680890068,0.0711085561571544,0,415.985813965166,20.0135943499818,0.236494766907373,-0.0723314284504596,0.247308734815931,17.0061419633999,422.842337307052,0.982003243374698,48.1112424464976,0.130597028629365,0,445.095770107323,20.0960804095981,0.489457522742253,0.0721930259718704,0.494752968225516,-8.39040261805714,204.307821115377,0.977972135813879,45.1500143547814,0.139162421030641,0,642.048152953553,20.0224370133648,0.302607994039937,0.0758729452474342,0.311974841737911,-14.0756099147164,330.460536302958,0.981569511261069,31.1852575562402,0.201479346317674,0,650.389729235067,20.0437044718436,0.218900430617245,0.0609763044070041,0.227234478509647,-15.5655645420211,456.828703890735,0.980527910986556,30.8179904615304,0.203880435196538,0,663.233267424453,20.068479179584,0.441839808566637,-0.132439281801783,0.461261942716256,16.6858402323671,226.326370012715,0.979317322999854,30.2585533103855,0.207649891345699,0
1.75,1.92568164920807,1.92567317416473,5.88067509267466e-05,1.92567317506266,-0.00174971468634271,51.9298920199038,10.2602011999732,1100.38951383318,0.00570996472448402,0,1.75,3.6456446198225,3.64562930588011,-4.54603042424788e-05,3.64562930616355,0.00071446747592756,27.4301064671353,5.39865080860648,2083.22549704143,0.00301608506429231,0,205.766577983433,19.9148304207611,0.113156638743287,-0.208222358946861,0.23698307040182,61.4785142673537,883.730739182393,0.9868737878547,96.7836011850499,0.0649199371613189,0,210.116630220526,19.9039050621659,-0.32900913048563,0.334098281249264,0.468901556274473,45.4397193127122,-303.942932685169,0.987415541707992,94.7278901307143,0.0663287791854064,0,226.513923312045,19.908785621244,1.14364315946733,-0.114297792905059,1.14934053337528,5.70729335495244,87.4398619640911,0.987173456783694,87.8921053952947,0.0714874820545141,0,416.010764405391,19.9135943499818,0.237588914210366,-0.0726168831917854,0.248438531391872,16.9952941004842,420.895058729289,0.986935050853629,47.8679785568638,0.13126071951661,0,445.151532715922,19.9960804095981,0.491971995400428,0.07246700485328,0.497280515454491,-8.37935795105904,203.263602267864,0.982863433590721,44.9197159618876,0.139875891301508,0,642.097558384451,19.9224370133648,0.303761022704678,0.0761969829660348,0.313172059941046,-14.0818101320997,329.206160519225,0.986496951985525,31.0271184701133,0.202506246696155,0,650.425873915219,19.9437044718436,0.220214242131786,0.0610434707324573,0.228518309456247,-15.4933935638882,454.103236157431,0.985444872964697,30.6625324601451,0.204914102099897,0,663.308385722598,19.968479179584,0.444354824673342,-0.132787436439627,0.463771186563681,16.6378281340232,225.045379159578,0.98422212026248,30.1043671531917,0.20871341607038,0
3.5,1.92566920661926,1.92563602293744,5.17278165142287e-05,1.92563602363221,-0.00153912033929364,51.9308939014634,10.2602682134729,550.191201891218,0.0114200032381141,0,3.5,3.64562164866924,3.64556038817681,-4.39015112443719e-05,3.64556038844115,0.000689982071503968,27.4306250211401,5.39868492667019,1041.60618533407,0.00603220813743959,0,205.772513176868,19.8148304207611,0.113481608673984,-0.209758153355614,0.238488067639437,61.5860947281539,881.200056718312,0.991854764787896,96.2948360538787,0.0652494522516662,0,210.099426869577,19.8039050621659,-0.327282446751921,0.335503798480007,0.468696702299511,45.7106734671168,-305.546481311293,0.99240200294297,94.2596815100291,0.0666582488559657,0,226.583769942136,19.808785621244,1.14632589153482,-0.114082901034463,1.15198869695477,5.68338930487455,87.2352275548005,0.992157466961126,87.4236739299672,0.0718705245928337,0,416.036157722561,19.8135943499818,0.238692752847433,-0.0729039646895032,0.249578080626753,16.9842517133894,418.948622474173,0.991916647814474,47.6246931479323,0.131931250195412,0,445.208219280025,19.8960804095981,0.494512317797608,0.0727426079961791,0.49983389187974,-8.368177947234,202.21943195544,0.987803907095855,44.6893825135874,0.140596825325775,0,642.147649129232,19.8224370133648,0.304920690524505,0.0765238133889934,0.314376401031525,-14.0881622649209,327.95413072162,0.99147411590925,30.8689707736913,0.203543725291112,0,650.462536812336,19.8437044718436,0.221544586632872,0.0610939438138498,0.229813998348795,-15.4169209665727,451.376409235911,0.990411399207024,30.5070674309545,0.205958351172235,0,663.384660736398,19.868479179584,0.446900226085308,-0.133134724865344,0.466309625721012,16.5891648090493,223.763592325664,0.989176297496991,29.9501636916488,0.209788012241535,0
5.25,1.92564846515656,1.9255737977846,4.58880295942269e-05,1.92557379833138,-0.00136540621213678,51.9325720546526,10.2603799251411,366.790183839344,0.0171301893671496,0,5.25,3.64558335769176,3.64544551147641,-4.13018810721205e-05,3.64544551171038,0.000649145204291947,27.4314894256916,5.39874179956839,694.396830036527,0.00904840724409568,0,205.778537436713,19.7148304207611,0.113811970521617,-0.211297097676985,0.239999225250271,61.6915488480745,878.642198546301,0.99688627958638,95.8060576498381,0.0655823385421413,0,210.082092324561,19.7039050621659,-0.325538331696019,0.336917501199002,0.468496113129668,45.9840871527844,-307.1834873608,0.997439085749291,93.791454779139,0.0669910208981755,0,226.654564650145,19.708785621244,1.14903685024663,-0.113865554561024,1.15466490712249,5.65933557238151,87.0294107439078,0.997192061294035,86.955167444634,0.0722577564028062,0,416.061989989533,19.7135943499818,0.239806565542907,-0.0731927870957177,0.250727686864302,16.9730248318687,417.002761261379,0.99694879210166,47.381387447764,0.132608723501534,0,445.265750424024,19.7960804095981,0.497078844656659,0.0730197791818529,0.502413441258259,-8.35685417139512,201.175328773188,0.99279430171169,44.4590233826573,0.141325311019552,0,642.198488871257,19.7224370133648,0.306086874421354,0.07685307727598,0.315587658471971,-14.0946063279859,326.704633085121,0.996501759528318,30.710811929859,0.204591963297156,0,650.499868605748,19.7437044718436,0.22289276869739,0.0611504860057265,0.231128899699551,-15.3415869840369,448.646228338456,0.995428242978947,30.351588716169,0.207013391158413,0,663.462155575932,19.768479179584,0.449474492941799,-0.133481623214907,0.468875957521148,16.5399785406671,222.482035288593,0.994180604227083,29.7959409040047,0.210873867934646,0
7,1.92561942481995,1.92548666671489,4.04086147777214e-05,1.9254866671389,-0.00120241969078061,51.9349220790046,10.2605363379135,275.088489259992,0.0228405969442117,0,7,3.64552974498272,3.64528465493194,-3.76589497915203e-05,3.64528465512646,0.00059191505962453,27.4326999030662,5.39882143157455,520.78996356896,0.0120647204184218,0,205.784607032213,19.6148304207611,0.114117179141098,-0.212919683387878,0.241573016185823,61.8103161293694,876.292252863668,1.00196910536049,95.3172868643697,0.0659186335855337,0,210.064685534567,19.6039050621659,-0.323772591425142,0.338343424349512,0.468300078751548,46.2606740842355,-308.858756573039,1.00252756494954,93.3231828675937,0.067327164742057,0,226.726260494435,19.608785621244,1.15178393615273,-0.113651160501198,1.15737756236362,5.63536291544213,86.8218394623796,1.00227801383953,86.4866097931574,0.0726492265358364,0,416.088108318129,19.6135943499818,0.24093043537509,-0.0734833250207917,0.251887422762912,16.9616062893369,415.057565659216,1.00203225701901,47.1380795506556,0.13329319664853,0,445.324209384743,19.6960804095981,0.499672477193589,0.07329824410543,0.505020016488176,-8.34534495589666,200.131094995766,0.997835377962105,44.2286316228128,0.142061489958888,0,642.25,19.6224370133648,0.307260045311987,0.077185457424461,0.316806455557565,-14.1012398609892,325.457219465231,1.00158065476373,30.5526461866327,0.205651100359634,0,650.537789509375,19.6437044718436,0.224258161485904,0.0612008468583706,0.232459172004934,-15.2645186359758,445.914651834357,1.0004961728883,30.1961005011847,0.208079361337835,0,663.540984889434,19.668479179584,0.452079653337934,-0.133827258993694,0.471471895463465,16.4901149360757,221.199957267816,0.999235805223421,29.6416945260154,0.211971191514205,0
8.75,1.92558206941821,1.92537085530968,0.000180707328137136,1.9253708637899,-0.00537754436782331,51.9380459739616,10.2607375431131,220.066522219224,0.0285513000515384,0,8.75,3.64546081286091,3.64507778973075,-3.29692600742484e-05,3.64507778987985,0.000518232960951877,27.434256761743,5.39892382126151,416.62409289839,0.0150811856882026,0,205.790742652247,19.5148304207611,0.114429766212669,-0.214539590168167,0.243148940250644,61.9257142685817,873.89849083628,1.00710403107122,94.828514486378,0.066258396445535,0,210.047265986114,19.5039050621659,-0.32196706104696,0.33983653538032,0.468136368143425,46.546677533393,-310.590778059171,1.00766823126098,92.8548389839803,0.0676667514146849,0,226.79897042564,19.508785621244,1.1545448958071,-0.113425411022747,1.16010311623576,5.61087723301856,86.6142151450018,1.00741611452971,86.0179637704321,0.0730450365454869,0,416.114633359541,19.5135943499818,0.242064344067246,-0.0737754687335479,0.253057239484589,16.9499775326697,413.113300041496,1.00716783172597,46.8947563618154,0.133984816099732,0,445.383584162746,19.5960804095981,0.502293772562959,0.0735779201434352,0.507654158151161,-8.33363665414097,199.086680867551,1.0029279118989,43.9982098721393,0.142805476073658,0,644,16.8894733301954,0.341936725977489,0.0875278972786696,0.352961552260625,-14.3580934916512,292.451767835501,1.16367178148924,26.2258902642786,0.23957948591502,0,650.576353607886,19.5437044718436,0.225640628193821,0.0612638813344626,0.233809658157795,-15.1902285150436,443.182598809741,1.00561597327797,30.0406007126766,0.209156446879179,0,663.621079634948,19.568479179584,0.454714983866883,-0.134172258720567,0.474096943212291,16.4396917916692,219.917978399574,1.00434268089334,29.4874285644278,0.213080136623351,0
10.5,1.92553646956257,1.92523723384182,0.0001618080246828,1.92523724064146,-0.00481546726859422,51.9416507442305,10.2609831656836,183.384425672626,0.0342623714316733,0,10.5,3.64537654603467,3.64482487649827,-2.72283625609089e-05,3.64482487659998,0.000428023378522894,27.4361604160455,5.39904899393795,347.178718669968,0.0180978411673685,0,205.797040885815,19.4148304207611,0.114723261680783,-0.216218082826869,0.244768637925704,62.0500029486228,871.662804342587,1.01229186193857,94.3396967089202,0.0666017119661303,0,210.029713594857,19.4039050621659,-0.320153237820522,0.341303594572455,0.467959655691645,46.831432331778,-312.350425317454,1.01286189170524,92.3864758469159,0.0680097952604103,0,226.872661185311,19.408785621244,1.15734325897283,-0.113202548814394,1.16286638791734,5.586468517483,86.4047889204044,1.01260716958076,85.549248286865,0.0734452427461515,0,416.141631113181,19.4135943499818,0.243209328059938,-0.074069864505682,0.254238317496118,16.9382141242867,411.168439951264,1.01235632164612,46.6514111987554,0.134683713648242,0,445.443902950682,19.4960804095981,0.50494143760263,0.0738598297855233,0.510314736083681,-8.32186885129004,198.042768038175,1.00807269550016,43.7677567937363,0.143557398584311,0,645.75,14.9951025831044,0.368761758793587,0.0966550736121175,0.381218360003167,-14.6872413153906,271.17779329167,1.31070570853846,23.2212196408896,0.270579470172002,0,650.615523287525,19.4437044718436,0.227042430735315,0.0612977673560348,0.23517160040497,-15.1087074414735,440.446306340771,1.01078844463066,29.8850915416153,0.210244807128336,0,663.702512215364,19.468479179584,0.457381572531984,-0.134516300083256,0.476752071710149,16.3886534960938,218.635830574497,1.00950202768256,29.3331407087799,0.214200905711365,0
12.25,1.92548243551488,1.92507556630284,-0.000181863474158482,1.92507557489324,0.00541277946085036,51.9460127957743,10.2612742341424,157.182239633868,0.0399738884101366,0,12.25,3.64527689063761,3.64452587014415,-2.04307912327559e-05,3.64452587020142,0.000321193524602758,27.4384113497992,5.39919703279878,297.573623725519,0.02111472525191,0,205.803378932248,19.3148304207611,0.115054584076475,-0.217829341409113,0.246347679704393,62.1575768854866,869.152679162544,1.01753341986256,93.850890694655,0.0669485953801121,0,210.012088050707,19.3039050621659,-0.31829914292819,0.342841450052258,0.467818986642007,47.1259097900771,-314.169868885135,1.01810937003076,91.9180664377046,0.0683563694351412,0,226.947316178187,19.308785621244,1.16017158563894,-0.112976010100688,1.16565933573332,5.561852921049,86.1941468295199,1.01785200191476,85.0804757086608,0.0738499080411228,0,416.168985234241,19.3135943499818,0.244364104816248,-0.0743654908328545,0.255429132930169,16.9261840360995,409.225405978492,1.01759854888835,46.4080578688753,0.135389964495661,0,445.505217774113,19.3960804095981,0.507617486256202,0.0741430736233511,0.513003613748854,-8.30991238527748,196.998729767021,1.01327053708093,43.5372687810642,0.144317397096631,0,647.5,13.5783568949663,0.389958380439807,0.105145434414531,0.403885009443849,-15.0899452603355,256.437622618129,1.44749053129568,20.9704353590214,0.299621118951953,0,650.65541890897,19.3437044718436,0.228463432947772,0.0613382571747001,0.23655426858865,-15.0284643089038,437.706808086265,1.0160144039862,29.7295679244161,0.211344656039194,0,663.785295836153,19.368479179584,0.460078903449029,-0.134859587478525,0.479436863136053,16.3370606214137,217.354021778307,1.01471465848933,29.1788313195249,0.215333686204739,0
14,1.92542018027127,1.92488860004847,-0.000204220238260957,1.92488861088179,0.00607877136334648,51.9510583612382,10.2616096087987,137.530012876519,0.045685921027441,0,14,3.64516186845619,3.64418071373294,-1.25700932425731e-05,3.64418071375462,0.000197633802343667,27.4410101626284,5.39936790924421,260.368704889728,0.0241318760249649,0,205.80973725893,19.2148304207611,0.115333171737255,-0.219589121779983,0.248034519587656,62.2905293769626,867.053237968815,1.02282954385741,93.3621055868061,0.0672990960056874,0,209.994328092813,19.2039050621659,-0.316430048177718,0.344374943019839,0.467677321205199,47.4215481235432,-316.025613167548,1.02341150714843,91.4496369334235,0.0687065090455616,0,227.023034047621,19.208785621244,1.16303184667191,-0.112748621669519,1.16848420103202,5.53716243643915,85.9821683182251,1.02315145159466,84.6116153007393,0.0742591343380805,0,416.196786885753,19.2135943499818,0.2455304152592,-0.0746635162096838,0.256631692255943,16.9140288633019,407.281517014633,1.02289535268119,46.1646868870613,0.136103713267913,0,445.567530334036,19.2960804095981,0.510323301102386,0.0744269769018057,0.515722063265455,-8.29767582812836,195.954211347949,1.01852226171667,43.3067472289377,0.145085597723699,0,649.25,12.4648738463517,0.40709213506119,0.113239903071614,0.422548555880087,-15.5448520927572,245.644637632139,1.57682569521725,19.1988815500218,0.327268298979241,0,650.695941481142,19.2437044718436,0.229902245908078,0.0613803820363096,0.237955025104538,-14.9484280141259,434.967477612129,1.02129468537187,29.5740348833901,0.212456140393223,0,663.869444421356,19.268479179584,0.462809900963777,-0.135201379024215,0.482153935294685,16.2847498463862,216.07143622415,1.01998140309153,29.0245007380613,0.216478669655121,0
15.75,1.92534954732006,1.92467667213513,-5.14325346600341e-05,1.92467667282234,0.00153109725266724,51.9567787399145,10.2619901416202,122.244415702861,0.0513985466825093,0,15.75,3.64503153619339,3.64378934497975,-3.63872963664747e-06,3.64378934498157,5.72162194985948e-05,27.4439575212479,5.39956154337025,231.430573726564,0.0271493312487018,0,205.816278240642,19.1148304207611,0.115658066625976,-0.221242899811322,0.249650173427902,62.4010019399077,864.617600114201,1.02818109049935,92.8732682572942,0.0676533239874016,0,209.976555117603,19.1039050621659,-0.314529051907739,0.345941679145524,0.467551248382469,47.7229907906928,-317.935654571372,1.02876916158093,90.9811338292807,0.069060310008551,0,227.099771714003,19.108785621244,1.16592257252156,-0.112517539367048,1.17133925136167,5.51226804676274,85.7689887448771,1.02850637627294,84.1426896954724,0.0746729790777972,0,416.225035082431,19.1135943499818,0.246707206332893,-0.0749630594344023,0.257844732225319,16.9016326935104,405.338787976325,1.02824758982082,45.921299150582,0.1368250773258,0,445.63081266755,19.1960804095981,0.513056042561814,0.0747136215316753,0.518467576663737,-8.28543856813456,194.910480930457,1.02382871167994,43.0761964027806,0.145862119497022,0,651,11.5590439162173,0.42144991368747,0.120908710830891,0.438450619912852,-16.0075234641377,237.276119302176,1.70042935697698,17.7558278282908,0.353866086557137,0,650.737178390465,19.1437044718436,0.231361354355354,0.061414470393722,0.239373794436411,-14.8662228652879,432.224302449437,1.02663014024623,29.4184889192803,0.213579471210083,0,663.9550096211,19.168479179584,0.465572523215825,-0.135542324453988,0.484901532367078,16.2318847979653,214.789307816697,1.02530310858705,28.8701476784141,0.217636063977513,0
