SSH0 f (kHz),SSH0 Phase velocity (m/ms),SSH0 Energy velocity (m/ms),SSH0 Propagation time (micsec),SSH0 Coincidence angle (deg),SSH0 Wavelength (mm),SSH0 Wavenumber (rad/mm),SSH0 Attenuation (Np/m),SSH1 f (kHz),SSH1 Phase velocity (m/ms),SSH1 Energy velocity (m/ms),SSH1 Propagation time (micsec),SSH1 Coincidence angle (deg),SSH1 Wavelength (mm),SSH1 Wavenumber (rad/mm),SSH1 Attenuation (Np/m),SSH2 f (kHz),SSH2 Phase velocity (m/ms),SSH2 Energy velocity (m/ms),SSH2 Propagation time (micsec),SSH2 Coincidence angle (deg),SSH2 Wavelength (mm),SSH2 Wavenumber (rad/mm),SSH2 Attenuation (Np/m),SSH3 f (kHz),SSH3 Phase velocity (m/ms),SSH3 Energy velocity (m/ms),SSH3 Propagation time (micsec),SSH3 Coincidence angle (deg),SSH3 Wavelength (mm),SSH3 Wavenumber (rad/mm),SSH3 Attenuation (Np/m)
0.001,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,3103646.64249502,2.02445253307849e-06,0,1569.01466255605,21.0236820134235,0.458179612653969,218.255018857687,0.934818377849599,13.3992897040071,0.468919281990041,0,3138.0293251121,21.0236820134237,0.458179612653965,218.25501885769,0.934818377849593,6.69964485200362,0.937838563980077,0,4706.76207857715,21.0804322777035,0.456946155305311,218.844165420726,0.932301547159243,4.47875459302505,1.40288671251706,0
5.4,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,574.749378239818,0.0109320436786239,0,1569.18215353954,20.9236820134235,0.460369378357536,217.2168799688,0.93928652992543,13.3341320293676,0.471210671481374,0,3138.36430707908,20.9236820134237,0.460369378357531,217.216879968802,0.939286529925424,6.66706601468383,0.942421342962741,0,4707.26040451964,20.9804322777035,0.459124118796512,217.806026531838,0.936745613966314,4.45703667839564,1.40972259385608,0
10.8,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,287.374689119909,0.0218640873572477,0,1569.3521181182,20.8236820134236,0.462580175554981,216.178741079911,0.94379760193718,13.2689673483814,0.473524814871599,0,3138.7042362364,20.8236820134237,0.462580175554981,216.178741079911,0.943797601937174,6.63448367419073,0.947049629743192,0,4707.76606905071,20.8804322777035,0.461322943575095,216.767887642948,0.941232253299247,4.4353164476403,1.41662615990397,0
16.2,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,191.583126079939,0.0327961310358716,0,1569.52460551732,20.7236820134235,0.464812308702244,215.140602191022,0.948352215314778,13.2037955573133,0.475862056475075,0,3139.04921103464,20.7236820134237,0.464812308702237,215.140602191025,0.948352215314772,6.60189777865671,0.951724112950144,0,4708.2792177882,20.7804322777035,0.463542930808323,215.72974875406,0.945762079873921,4.41359386656459,1.42359843183085,0
21.6,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,143.687344559954,0.0437281747144954,0,1569.69966619969,20.6236820134236,0.467066088160245,214.102463302134,0.95295100354365,13.1386165503585,0.478222747661216,0,3139.39933239939,20.6236820134237,0.467066088160245,214.102463302134,0.952951003543644,6.5693082751793,0.956445495322427,0,4708.8,20.6804322777035,0.465784387488647,214.69160986517,0.950335720298723,4.39186890029382,1.43064045166723,0
27,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,114.949875647964,0.0546602183931192,0,1569.87735190336,20.5236820134235,0.469341830338744,213.064324413244,0.957594612458498,13.0734302195902,0.48060724703792,0,3139.75470380672,20.5236820134237,0.469341830338741,213.064324413245,0.957594612458492,6.53671510979513,0.961214494075835,0,4714.2,19.7236820134236,0.488378512435699,204.759213302134,0.996438851910671,4.1838874068609,1.50175774254254,0
32.4,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,95.7915630399696,0.0655922620717431,0,1570.05771568067,20.4236820134235,0.471639857844412,212.026185524356,0.962283700545709,13.0082364549059,0.483015920640799,0,3140.11543136133,20.4236820134237,0.471639857844412,212.026185524356,0.962283700545702,6.504118227453,0.966031841281593,0,4719.6,18.8911963052751,0.509900078629791,196.116855421402,1.04035403552357,4.00271131139823,1.56973231851306,0
37.8,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,82.1070540342596,0.0765243057503669,0,1570.2408119388,20.3236820134236,0.473960499633301,210.988046635467,0.967018939254701,12.9430351439724,0.485449142128436,0,3140.48162387759,20.3236820134237,0.473960499633301,210.988046635467,0.967018939254695,6.47151757198622,0.970898284256866,0,4725,18.1583154414074,0.530479961786811,188.508534164365,1.08234826754613,3.84302972304918,1.63495620902831,0
43.2,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,71.8436722799772,0.0874563494289908,0,1570.42669648171,20.2236820134235,0.476304091167817,209.949907746576,0.971801013318506,12.877826172168,0.48790729298389,0,3140.85339296342,20.2236820134237,0.476304091167808,209.94990774658,0.971801013318499,6.43891308608405,0.975814585967773,0,4730.4,17.5067245273141,0.550224141954234,181.744115488698,1.12263775408839,3.70089728718799,1.69774647054679,0
48.6,3.10364664249502,3.10364664249502,32.2201627694351,6.34501303005411,63.8610420266464,0.0983883931076146,0,1570.61542655367,20.1236820134236,0.478670974578366,208.911768857688,0.976630621083909,12.8126094225243,0.490390762722688,0,3141.23085310734,20.1236820134237,0.478670974578362,208.91176885769,0.976630621083902,6.40630471126219,0.980781525445369,0,4735.8,16.9224982989151,0.569219881800084,175.679035812598,1.16140051557045,3.57331354764033,1.75836383329102,0
